date,hour,OntDemand
01/01/2016,1,13417
01/01/2016,2,12968
01/01/2016,3,12395
01/01/2016,4,12228
01/01/2016,5,12116
01/01/2016,6,12257
01/01/2016,7,12528
01/01/2016,8,12820
01/01/2016,9,12986
01/01/2016,10,13569
01/01/2016,11,13965
01/01/2016,12,14215
01/01/2016,13,14443
01/01/2016,14,14733
01/01/2016,15,14907
01/01/2016,16,14981
01/01/2016,17,15763
01/01/2016,18,16979
01/01/2016,19,16859
01/01/2016,20,16552
01/01/2016,21,16165
01/01/2016,22,15701
01/01/2016,23,14866
01/01/2016,24,14023
02/01/2016,1,13251
02/01/2016,2,12844
02/01/2016,3,12673
02/01/2016,4,12473
02/01/2016,5,12468
02/01/2016,6,12644
02/01/2016,7,13064
02/01/2016,8,13780
02/01/2016,9,14305
02/01/2016,10,15068
02/01/2016,11,15536
02/01/2016,12,15852
02/01/2016,13,16059
02/01/2016,14,15750
02/01/2016,15,15564
02/01/2016,16,15571
02/01/2016,17,16207
02/01/2016,18,17163
02/01/2016,19,17100
02/01/2016,20,16710
02/01/2016,21,16124
02/01/2016,22,15699
02/01/2016,23,14983
02/01/2016,24,14164
03/01/2016,1,13432
03/01/2016,2,12916
03/01/2016,3,12588
03/01/2016,4,12450
03/01/2016,5,12443
03/01/2016,6,12624
03/01/2016,7,12973
03/01/2016,8,13613
03/01/2016,9,14155
03/01/2016,10,14696
03/01/2016,11,15182
03/01/2016,12,15434
03/01/2016,13,15650
03/01/2016,14,15533
03/01/2016,15,15602
03/01/2016,16,15748
03/01/2016,17,16863
03/01/2016,18,18423
03/01/2016,19,18512
03/01/2016,20,18316
03/01/2016,21,18006
03/01/2016,22,17347
03/01/2016,23,16606
03/01/2016,24,15533
04/01/2016,1,14809
04/01/2016,2,14480
04/01/2016,3,14295
04/01/2016,4,14213
04/01/2016,5,14435
04/01/2016,6,15147
04/01/2016,7,16532
04/01/2016,8,18240
04/01/2016,9,18522
04/01/2016,10,18225
04/01/2016,11,17912
04/01/2016,12,17733
04/01/2016,13,17597
04/01/2016,14,17619
04/01/2016,15,17758
04/01/2016,16,18327
04/01/2016,17,19437
04/01/2016,18,20820
04/01/2016,19,20836
04/01/2016,20,20502
04/01/2016,21,20255
04/01/2016,22,19533
04/01/2016,23,18358
04/01/2016,24,17238
05/01/2016,1,16429
05/01/2016,2,15996
05/01/2016,3,15916
05/01/2016,4,15878
05/01/2016,5,15947
05/01/2016,6,16466
05/01/2016,7,17974
05/01/2016,8,19374
05/01/2016,9,19356
05/01/2016,10,18899
05/01/2016,11,18547
05/01/2016,12,18080
05/01/2016,13,17610
05/01/2016,14,17456
05/01/2016,15,17516
05/01/2016,16,18038
05/01/2016,17,19311
05/01/2016,18,20277
05/01/2016,19,20202
05/01/2016,20,19893
05/01/2016,21,19445
05/01/2016,22,18648
05/01/2016,23,17341
05/01/2016,24,16055
06/01/2016,1,15187
06/01/2016,2,14784
06/01/2016,3,14522
06/01/2016,4,14476
06/01/2016,5,14586
06/01/2016,6,15148
06/01/2016,7,16504
06/01/2016,8,18112
06/01/2016,9,18213
06/01/2016,10,17600
06/01/2016,11,17234
06/01/2016,12,16927
06/01/2016,13,16619
06/01/2016,14,16678
06/01/2016,15,16707
06/01/2016,16,16869
06/01/2016,17,18146
06/01/2016,18,19353
06/01/2016,19,19400
06/01/2016,20,19105
06/01/2016,21,18731
06/01/2016,22,17971
06/01/2016,23,16841
06/01/2016,24,15669
07/01/2016,1,14795
07/01/2016,2,14398
07/01/2016,3,14210
07/01/2016,4,14198
07/01/2016,5,14356
07/01/2016,6,15122
07/01/2016,7,16439
07/01/2016,8,18000
07/01/2016,9,17989
07/01/2016,10,17460
07/01/2016,11,17154
07/01/2016,12,17075
07/01/2016,13,16841
07/01/2016,14,16657
07/01/2016,15,16832
07/01/2016,16,17142
07/01/2016,17,18087
07/01/2016,18,19131
07/01/2016,19,19211
07/01/2016,20,18958
07/01/2016,21,18591
07/01/2016,22,17832
07/01/2016,23,16564
07/01/2016,24,15403
08/01/2016,1,14684
08/01/2016,2,14114
08/01/2016,3,13994
08/01/2016,4,13986
08/01/2016,5,14133
08/01/2016,6,14624
08/01/2016,7,16024
08/01/2016,8,17529
08/01/2016,9,17727
08/01/2016,10,17550
08/01/2016,11,17523
08/01/2016,12,17427
08/01/2016,13,17308
08/01/2016,14,17384
08/01/2016,15,17296
08/01/2016,16,17413
08/01/2016,17,17963
08/01/2016,18,18801
08/01/2016,19,18689
08/01/2016,20,18526
08/01/2016,21,18054
08/01/2016,22,17492
08/01/2016,23,16343
08/01/2016,24,14973
09/01/2016,1,14235
09/01/2016,2,13547
09/01/2016,3,13157
09/01/2016,4,12976
09/01/2016,5,12885
09/01/2016,6,13137
09/01/2016,7,13460
09/01/2016,8,14239
09/01/2016,9,15186
09/01/2016,10,15772
09/01/2016,11,16164
09/01/2016,12,16377
09/01/2016,13,16432
09/01/2016,14,16235
09/01/2016,15,16220
09/01/2016,16,16313
09/01/2016,17,16845
09/01/2016,18,17628
09/01/2016,19,17574
09/01/2016,20,16880
09/01/2016,21,16215
09/01/2016,22,15522
09/01/2016,23,14844
09/01/2016,24,14031
10/01/2016,1,13297
10/01/2016,2,12752
10/01/2016,3,12486
10/01/2016,4,12401
10/01/2016,5,12346
10/01/2016,6,12653
10/01/2016,7,13241
10/01/2016,8,13957
10/01/2016,9,14330
10/01/2016,10,15001
10/01/2016,11,15696
10/01/2016,12,16008
10/01/2016,13,16100
10/01/2016,14,16004
10/01/2016,15,15964
