date,hour,NUCLEAR,GAS,HYDRO,WIND,SOLAR,BIOFUEL
01/01/2016,1,11188,919,2994,1255,0,3
01/01/2016,2,11021,918,2999,1483,0,3
01/01/2016,3,10904,920,3012,1133,0,8
01/01/2016,4,10425,922,3005,1347,0,7
01/01/2016,5,10411,921,3030,1176,0,2
01/01/2016,6,10412,920,2998,1252,0,2
01/01/2016,7,10411,921,3074,1469,0,2
01/01/2016,8,10415,922,3127,1762,0,2
01/01/2016,9,10412,920,3362,1652,1,2
01/01/2016,10,10414,919,3482,1766,12,2
01/01/2016,11,10414,921,3747,2024,33,3
01/01/2016,12,10409,918,3779,2324,103,2
01/01/2016,13,10410,914,3804,2684,89,2
01/01/2016,14,10485,911,3738,2806,71,2
01/01/2016,15,10710,910,3644,2609,25,2
01/01/2016,16,10715,913,3667,2569,25,2
01/01/2016,17,11045,917,4183,2244,3,2
01/01/2016,18,11425,924,4882,2154,0,2
01/01/2016,19,11542,923,4897,2022,0,2
01/01/2016,20,11543,920,4663,1862,0,2
01/01/2016,21,11539,921,4361,1804,0,2
01/01/2016,22,11521,921,4114,1741,0,2
01/01/2016,23,11528,923,3426,1415,0,2
01/01/2016,24,11523,922,3125,1412,0,2
02/01/2016,1,11385,920,3166,1125,0,2
02/01/2016,2,11018,922,3193,1238,0,2
02/01/2016,3,11012,918,3098,1131,0,2
02/01/2016,4,11012,921,3079,837,0,2
02/01/2016,5,11020,921,3075,946,0,2
02/01/2016,6,11018,920,3131,1020,0,2
02/01/2016,7,11021,920,3215,1429,0,2
02/01/2016,8,11181,920,3218,1306,0,2
02/01/2016,9,11488,922,3339,1338,6,2
02/01/2016,10,11560,921,3679,1566,4,2
02/01/2016,11,11563,918,4057,1608,14,2
02/01/2016,12,11559,917,4128,1744,19,2
02/01/2016,13,11561,917,3930,1922,32,2
02/01/2016,14,11520,918,3899,1552,21,2
02/01/2016,15,11556,914,3895,1552,12,2
02/01/2016,16,11557,934,3967,1901,5,7
02/01/2016,17,11555,940,4139,2220,0,6
02/01/2016,18,11557,945,4563,2735,0,6
02/01/2016,19,11565,911,4573,2806,0,6
02/01/2016,20,11570,908,4351,2714,0,6
02/01/2016,21,11563,904,4192,2098,0,6
02/01/2016,22,11555,911,3921,2071,0,6
02/01/2016,23,11557,915,3432,1895,0,6
02/01/2016,24,11494,915,3098,1892,0,6
03/01/2016,1,11091,915,3114,1834,0,6
03/01/2016,2,10726,911,3052,1542,0,6
03/01/2016,3,10414,915,3127,1552,0,6
03/01/2016,4,10416,915,3131,1395,0,5
03/01/2016,5,10415,918,3173,1296,0,5
03/01/2016,6,10414,921,3145,1582,0,5
03/01/2016,7,10659,918,3220,1609,0,5
03/01/2016,8,11142,913,3239,1523,0,5
03/01/2016,9,11445,955,3325,1073,1,4
03/01/2016,10,11561,1013,3400,1251,11,6
03/01/2016,11,11558,1022,3444,1895,46,8
03/01/2016,12,11566,1048,3564,1789,44,14
03/01/2016,13,11568,1152,3723,1734,39,9
03/01/2016,14,11563,1236,4041,1354,46,17
03/01/2016,15,11561,1273,4078,1255,41,18
03/01/2016,16,11564,1278,4160,1372,32,7
03/01/2016,17,11559,1358,4539,1779,3,8
03/01/2016,18,11556,1372,5675,1786,0,6
03/01/2016,19,11546,1362,5960,1664,0,3
03/01/2016,20,11547,1442,6013,1296,0,1
03/01/2016,21,11541,1333,5772,993,0,1
03/01/2016,22,11538,1416,5520,845,0,2
03/01/2016,23,11543,1145,5062,798,0,11
03/01/2016,24,11536,979,4465,765,0,28
04/01/2016,1,11547,1005,4193,694,0,36
04/01/2016,2,11552,1024,3920,662,0,41
04/01/2016,3,11565,1167,3891,343,0,48
04/01/2016,4,11408,1351,3946,183,0,42
04/01/2016,5,11092,1621,3963,454,0,40
04/01/2016,6,11015,1890,4032,907,0,46
04/01/2016,7,11289,2301,4386,1007,0,54
04/01/2016,8,11564,2346,4927,1275,0,57
04/01/2016,9,11559,2380,5160,1209,25,56
04/01/2016,10,11556,2405,5273,1321,104,58
04/01/2016,11,11554,2320,4724,1529,173,53
04/01/2016,12,11595,2482,4577,1427,180,56
04/01/2016,13,11599,2302,4484,1406,140,51
04/01/2016,14,11604,2356,4550,1468,142,46
04/01/2016,15,11605,2642,4622,1306,104,47
04/01/2016,16,11602,3062,4752,1208,58,50
04/01/2016,17,11552,3775,5985,895,10,64
04/01/2016,18,11548,5043,6219,686,0,111
04/01/2016,19,11547,5026,6017,648,0,176
04/01/2016,20,11544,4551,5986,637,0,133
04/01/2016,21,11535,4387,5933,620,0,155
04/01/2016,22,11527,3957,5930,512,0,173
04/01/2016,23,11522,2881,5618,511,0,143
04/01/2016,24,11530,2200,5144,480,0,81
05/01/2016,1,11530,1840,5142,455,0,35
05/01/2016,2,11532,1369,5076,421,0,20
05/01/2016,3,11538,1396,5053,355,0,19
05/01/2016,4,11541,1458,4985,420,0,12
05/01/2016,5,11539,1891,4595,480,0,18
05/01/2016,6,11537,2619,4590,545,0,21
05/01/2016,7,11545,3510,5639,564,0,29
05/01/2016,8,11542,4183,6004,632,0,36
05/01/2016,9,11534,4521,6068,689,29,37
05/01/2016,10,11537,3783,5850,659,104,45
05/01/2016,11,11535,3501,5700,674,161,57
05/01/2016,12,11543,3385,5443,884,174,93
05/01/2016,13,11541,2885,5168,1351,97,100
05/01/2016,14,11736,2442,4276,1406,90,97
05/01/2016,15,11767,1960,4402,1539,59,87
05/01/2016,16,11762,2193,4740,1452,47,86
05/01/2016,17,11759,2765,5672,1380,10,106
05/01/2016,18,11754,3343,5989,1494,0,158
05/01/2016,19,11747,3391,6025,1706,0,156
