date,hour,Temperature
01/01/2016,1,0.8
01/01/2016,2,0.6
01/01/2016,3,0.5
01/01/2016,4,0.4
01/01/2016,5,0.4
01/01/2016,6,0.2
01/01/2016,7,0.1
01/01/2016,8,-0.1
01/01/2016,9,-0.3
01/01/2016,10,-1.7
01/01/2016,11,-1.1
01/01/2016,12,-0.7
01/01/2016,13,-1.2
01/01/2016,14,-1.9
01/01/2016,15,-1.4
01/01/2016,16,-1.2
01/01/2016,17,-1.4
01/01/2016,18,-1.8
01/01/2016,19,-1.8
01/01/2016,20,-2
01/01/2016,21,-2
01/01/2016,22,-2.2
01/01/2016,23,-2.1
01/01/2016,24,-2.1
02/01/2016,1,-2.4
02/01/2016,2,-2.8
02/01/2016,3,-2.9
02/01/2016,4,-2.3
02/01/2016,5,-2.1
02/01/2016,6,-1.5
02/01/2016,7,-1.4
02/01/2016,8,-1.4
02/01/2016,9,-1.3
02/01/2016,10,-1.2
02/01/2016,11,-1
02/01/2016,12,-0.7
02/01/2016,13,-0.5
02/01/2016,14,-0.1
02/01/2016,15,0.2
02/01/2016,16,0.4
02/01/2016,17,0.3
02/01/2016,18,0.2
02/01/2016,19,0.2
02/01/2016,20,0.3
02/01/2016,21,0.5
02/01/2016,22,0.9
02/01/2016,23,1.2
02/01/2016,24,1.2
03/01/2016,1,1.5
03/01/2016,2,1.5
03/01/2016,3,1.3
03/01/2016,4,1.1
03/01/2016,5,1.1
03/01/2016,6,1
03/01/2016,7,1
03/01/2016,8,1.5
03/01/2016,9,1.6
03/01/2016,10,1.5
03/01/2016,11,1.8
03/01/2016,12,2.3
03/01/2016,13,1.1
03/01/2016,14,0.2
03/01/2016,15,-0.9
03/01/2016,16,-1.7
03/01/2016,17,-2.3
03/01/2016,18,-3
03/01/2016,19,-4.4
03/01/2016,20,-4.9
03/01/2016,21,-5.8
03/01/2016,22,-6.5
03/01/2016,23,-8.1
03/01/2016,24,-9.1
04/01/2016,1,-9.9
04/01/2016,2,-9.9
04/01/2016,3,-10.3
04/01/2016,4,-11
04/01/2016,5,-12.3
04/01/2016,6,-12.9
04/01/2016,7,-13.3
04/01/2016,8,-13.6
04/01/2016,9,-13.8
04/01/2016,10,-14
04/01/2016,11,-13.4
04/01/2016,12,-12.7
04/01/2016,13,-11.7
04/01/2016,14,-11.4
04/01/2016,15,-10.7
04/01/2016,16,-11
04/01/2016,17,-11.2
04/01/2016,18,-11.4
04/01/2016,19,-11.7
04/01/2016,20,-11.9
04/01/2016,21,-12
04/01/2016,22,-12.1
04/01/2016,23,-12
04/01/2016,24,-12.2
05/01/2016,1,-12.5
05/01/2016,2,-12.7
05/01/2016,3,-12.9
05/01/2016,4,-12.8
05/01/2016,5,-13
05/01/2016,6,-12.8
05/01/2016,7,-12.4
05/01/2016,8,-12.5
05/01/2016,9,-12.1
05/01/2016,10,nan
05/01/2016,11,-9
05/01/2016,12,-7.2
05/01/2016,13,-5.7
05/01/2016,14,-4.3
05/01/2016,15,-3.6
05/01/2016,16,-3.1
05/01/2016,17,-2.7
05/01/2016,18,-2.6
05/01/2016,19,-2.2
05/01/2016,20,-2.6
05/01/2016,21,-3
